,Nombre del parque eolico,Pais,Departamento / Zona,Ciudad,turbinas eolicas,Altura de las gondolas,Potencia nominal total,Operativo,Parque eolico onshore,Desarrolladores,Operador,Propietario,Fuente,Latitud,Longitud,Sistema geodesico,Localizacion precisa,Puesta en servicio,Desarrollador,Imagenes de Google Maps,Parte,Otro nombre,Propietarios,Altitud,turbina eolica,En construccion,Deshabilitar,Operadores,Sitio web,"direccion de correo electronico a fin de inscribirle al boletin de noticias, estrictamente destinada al envio de los boletines de noticias y por un periodo de tiempo limitado a la duracion de la inscripcion a dichos boletines de noticias.","direccion de correo electronico y nombre de la empresa cuando se soliciten presupuestos o se adquieran productos, unicamente destinados a realizar el seguimiento de los clientes y durante un periodo de tiempo conforme a las obligaciones contables."
0,Cortijo de Guerra II,Espana,Cadiz (Andalucia),Puerto Real,"Enercon E70/2000 (potencia 2 000 kW, diametro 70 m)",80 m,34 000 kW,si,si,Grupo Enhol/ImWind,Grupo Enhol,Enel GreenPower,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 31' 48""","-6° 11' 24""",WGS84,no,,,,,,,,,,,,,,
1,Es Mila,Espana,Baleares,MenorcaÂ ,"Made AE-59 (potencia 800 kW, diametro 59 m)",,3 200 kW,si,si,,Consorcio RSU Menorca,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 55' 4.5""","4° 15' 33.5""",WGS84,si,2004,Consorcio RSU Menorca,Imagenes de Google Maps,,,,,,,,,,,
2,La Castellana (Spain),Espana,Cadiz (Andalucia),Puerto Real,"Enercon E82/2000 (potencia 2 000 kW, diametro 82 m)",78 m,34 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 32' 10.3""","-6° 5' 1.7""",WGS84,si,2009,Acciona Energia,Imagenes de Google Maps,Ampliacion,,,,,,,,,,
3,Valdeperondo,Espana,Leon (Castilla y Leon),"Cea, SahagunÂ ","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,46 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 22' 19.2""","-5° 1' 49.5""",WGS84,no,,Iberdrola Renewables,,,,,,,,,,,,
4,A Capelada I,Espana,La Coruna (Galicia),"Carino, Cedeira, Ortigueira","Made AE-30 (potencia 330 kW, diametro 30 m)",,16 500 kW,si,si,,P. Eolico A Capelada AIE,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 43' 1.5""","-7° 56' 12.9""",WGS84,si,1998,P. Eolico A Capelada AIE,Imagenes de Google Maps,,,,,,,,,,,
5,A Capelada II,Espana,La Coruna (Galicia),"Carino, Cedeira, Ortigueira","Made AE-30 (potencia 330 kW, diametro 30 m)",,14 850 kW,si,si,,P. Eolico A Capelada AIE,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 41' 12.2""","-7° 57' 34.5""",WGS84,si,1997,P. Eolico A Capelada AIE,Imagenes de Google Maps,,,,,,,,,,,
6,Abuela Santa Ana,Espana,Albacete (Castilla-La Mancha),Pozo LlorenteÂ ,"GE Energy 1.5sle (potencia 1 500 kW, diametro 77 m)",,37 500 kW,si,si,ACS/Cobra,ACS,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 3' 11.2""","-1° 30' 5.7""",WGS84,si,2009,,Imagenes de Google Maps,,,,,,,,,,,
7,Abuela Santa Ana Modificacion,Espana,Albacete (Castilla-La Mancha),Pozo Llorente,"GE Energy 1.5sle (potencia 1 500 kW, diametro 77 m)",,12 000 kW,si,si,Al Andalus Wind Power/Cobra,Al Andalus Wind Power,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 3' 11.2""","-1° 30' 5.7""",WGS84,si,2009,,Imagenes de Google Maps,,,,,,,,,,,
8,Adrano,Espana,La Coruna (Galicia),"Carnota, Mazaricos","Navantia-Siemens Bonus Mk-IV (potencia 600 kW, diametro 44 m)",,21 600 kW,si,si,,Acciona Energia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 54' 35.9""","-9° 2' 23.9""",WGS84,si,,Terranova,Imagenes de Google Maps,Paxareiras II b,Paxareiras II b,Acciona Energia/Eurus Energy,,,,,,,,
9,Aeropuerto La Palma,Espana,Las Palmas (Canarias),La Palma,"Made AE-46/I (potencia 660 kW, diametro 46 m)",,1 320 kW,si,si,,AENA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"28° 37' 17.8""","-17° 45' 3.1""",WGS84,si,2002,AENA,Imagenes de Google Maps,,,,31 m,,,,,,,
